,Decarbonization_pathway,Energy_tax,Plant_number,Coal_plants_shutdown,Total_emissions,Direct_emissions_change_norm,Indirect_emissions_change_norm,Emission_change_norm,Energy_usage_change_norm,IRR,NPV,NPV_norm,Yearly_production
0,1,2,2,1,160.5742856454758,-0.1241049435245473,0.07443781716141229,-0.07151382534173886,933.8468511084077,5.180752839887596,182672111.84500253,60467.43192486015,3021.0
1,0,1,3,1,32.857986930974825,0.0,-0.0005391547338873431,-0.0003809186165038281,-15.447053573421945,0.9593931366146882,6.984919309616089e-10,7.937408306381919e-13,880.0
2,0,0,4,0,30.176531692026366,-0.003485630856165693,0.0008172834653232545,-0.0026762771521256917,-43.02563323673258,0.0,243764.6641498271,889.6520589409748,274.0
3,0,2,4,0,31.32579568367045,-0.003485630856165693,0.0004903700791939525,-0.0030000186337416634,-43.02563323673258,0.0,310241.84880013403,1132.2695211683724,274.0
4,2,2,4,1,9.90889838123763,-0.11991394962626344,0.052717829352206355,-0.0826682363648026,168.62206191161354,0.07065245722747937,8583647.92432806,31327.182205576864,274.0
5,3,2,2,1,156.29064469493454,-0.0974450856790596,0.03469629532486033,-0.07293177997614511,-174.0610609143566,0.9672337621786335,230283993.00490814,76227.73684372994,3021.0
6,0,1,4,0,30.751163687848408,-0.003485630856165693,0.0006538267722586036,-0.0028381478929336706,-43.02563323673258,0.0,277003.25647498097,1010.960790054675,274.0
7,0,2,1,1,254.95288127194294,-0.0020008910519599015,-6.819254367626121e-05,-0.002049069817276053,-33.39458031597363,0.0,-1.8961727619171143e-06,-7.736322978038002e-10,2451.0
8,0,2,2,1,207.704820148077,-0.06299436760265043,0.010023221314662142,-0.055912853973780846,-586.4606851424227,0.0,209297003.01028138,69280.70275083793,3021.0
9,2,2,2,1,101.45848706201157,-0.11457860630898975,0.03325709159020062,-0.09108211351898622,-492.6889520837569,0.5006980779980228,278204735.5326481,92090.27988502088,3021.0
10,0,0,3,0,52.292316174934015,0.0,-0.001189760353870075,-0.0011782166043746364,-15.447053573421945,3.2357956027180483,8.149072527885437e-10,9.260309690778905e-13,880.0
11,0,2,3,1,24.643490198231117,0.0,-0.0004043660504155072,-0.00028568896237787106,-15.447053573421945,0.0,7.566995918750763e-10,8.598858998580412e-13,880.0
12,2,2,1,1,91.81697951454625,-0.1012982280857735,0.046269986307335184,-0.06860798526297035,208.76824143770745,0.18308418212103694,112267388.99148887,45804.72827070129,2451.0
13,0,2,4,1,31.65870442114315,-0.003485630856165693,0.00027777164188373427,-0.0032893822045634707,-43.02563323673258,0.0,312004.7268877389,1138.7033828019669,274.0
14,0,1,4,1,31.195042004478676,-0.003485630856165693,0.0003703621891783125,-0.0032239659873627424,-43.02563323673258,0.0,278736.0395892317,1017.2848160190939,274.0
